"ELEV_MAX","ELEV_MEAN","ELEV_STD","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","TCI_MEAN","TCI_STD","SURFratio_MEAN","SURFratio_STD","TA","NP","PD","LPI","ED","FRAC_AM","FRAC_SD","PARA_AM","PARA_SD","IJI","COHESION","PR","PRD","SIEI","PLADJ","ENN_AM","ENN_SD","eucalipto_AREA_perc","flnatural_AREA_perc","matosa_AREA_perc","matosb_AREA_perc","outfolhosas_AREA_perc","pinheiro_AREA_perc","urbano_AREA_perc","DensRoadAll","DensRoad6Less","DensRoad6Plus","RoadAreaPerc","Area_06","PopRes91","PopRes01","PopResTrab91","PopResTrab01","PopAct91","PopAct01","PopResQualSec91","Analf91","Analf01","PropPopRes3C01","DensPop91","DensPop01","PropIdosos91","PropIdosos01","IDepIdosos91","IDepIdosos01","PropPopResTrab91","PropPopResTrab01","PropPopResSubTmp91","PropPopResSubTmp01","PropPopResPensRef91","PropPopResPensRef01","bio2","bio1","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","TotalBurntArea"
86,28.7293,27.0962,23.4534,3.24057,3.60828,5.54151,2.79175,1.00255,0.00595639,1652.62,112,6.7771,70.4869,80.8837,1.2346,0.0803,179.2427,1169.4409,47.7664,99.5758,16,0.9682,1.0667,95.5189,106.6453,704.7669,4.525934302,0,0.175139213,0.431528576,1.136298399,0.750510648,11.05122416,888.4842669,424.9395539,463.544713,0.918615519,1653.94,4157,4153,1653,1703,1759,1830,343,386,424,22.5,251.3,251.1,18.4,23.3,55.6,60,39.8,41,1.4,1.5,21.1,23.4,83.385,149.269,44.615,3605.27,243.154,58.308,184.846,108.769,191.962,193.692,100.423,1047.58,144,12,52.039,422.423,69.808,83.231,408.346,66
211,89.9898,57.8804,59.475,21.0989,12.3276,3.06897,1.71212,1.04243,0.041565,198.83,31,15.5912,33.3652,81.7784,1.1291,0.0577,215.8628,1165.5968,59.0158,98.434,14,7.0412,1.0769,94.6034,57.6457,89.2321,0,0,4.65554417,24.91439661,0,4.475909025,54.46437794,1352.381179,813.2046541,539.1765249,0.930563176,199.21,7321,5793,2777,2237,2933,2457,574,746,640,28.4,3678.9,2911.1,17.4,26,53.8,55.8,37.9,38.6,1.4,3.8,21,27.8,83,166.667,41.667,3949,279,82.667,196.333,125.667,214.667,219.667,118.333,677,102.667,3.333,64,303.667,28.333,30.667,291,83
888,474.445,146.264,53.4535,26.6349,9.9995,2.94978,2.31093,1.05096,0.0261571,1321.59,116,8.7773,18.2939,106.3189,1.1648,0.052,229.8444,642.0073,67.7689,98.4305,14,1.0593,1.0769,94.2539,96.4681,273.9425,0,3.85433088,0,6.969154896,5.470541599,55.19842056,1.470721601,964.1475439,952.6879422,11.4596017,0.595811363,1322.32,1269,1108,438,367,463,403,41,178,156,13.4,98.1,85.6,18.4,27.3,66.8,68.1,34.5,33.1,0.9,2.9,25.7,33.2,94.546,140.318,37.591,5311.55,285.136,36.409,248.727,75.091,210.045,210.636,75.091,1111.55,166.136,10.5,55.273,452.318,70.455,71.136,452.318,4141
81,62.2475,10.7643,12.426,4.3589,2.56656,4.21796,1.47333,1.00377,0.00334441,101.76,29,28.4984,46.649,89.4261,1.1091,0.0666,237.0283,1580.2125,68.6854,98.0274,8,7.8616,1.1429,94.0743,114.3354,154.0383,0,0,0,6.127407573,0.243925461,0,82.23215132,2134.073706,1772.31284,361.7608659,1.368740167,101.88,16879,15441,7915,7641,8417,8513,3329,366,277,64.5,17049.5,15597,5.6,10.2,37.4,29.6,46.9,49.5,0.7,1.8,5.9,13.1,80,166,41,4030.5,276.5,81.5,195,123.5,215,219.5,116,722,108,4,63.5,322,30,33,311.5,0
402,331.388,39.1523,20.8716,7.41964,3.60929,3.93278,2.0073,1.00646,0.00516467,715.28,256,35.7902,9.799,168.2977,1.1238,0.0426,358.9643,600.6931,76.6446,96.2559,32,4.4738,1.0323,91.0259,209.6492,359.8467,10.91993559,0,3.374544093,1.656644996,3.588933445,43.57672409,3.66689321,1124.134505,849.1521812,274.9823239,1.010733516,715.72,724,623,203,214,211,234,44,105,64,25.2,101.1,87,20.2,27.4,68.4,63.9,28,34.3,1.4,1,30.1,31,99.333,145.556,40.111,4902.44,283.778,41.222,242.556,85.556,208.556,209.778,84,1099.67,160.111,11.111,53.889,441.889,71.889,76,441.889,75
59,28.1119,13.5055,11.8493,2.87878,1.88539,4.96312,1.70957,1.00155,0.00184421,570.73,43,7.5342,41.2927,74.8165,1.1681,0.0531,173.2868,982.07,50.4711,99.1844,12,2.1026,1.0909,95.6678,159.6865,436.9358,15.69117176,0,0,0.150876652,0,5.540814963,33.07493677,1132.208769,1024.269658,107.9391108,0.704722074,573.88,2859,3402,1439,1583,1446,1702,478,125,130,38.7,498.1,592.7,10.8,12.8,42.7,41.3,50.3,46.5,1.4,3.1,14.2,16.7,82.444,144.111,45,3600.22,239.667,58.222,181.444,98.222,188.222,190,98.222,1222.56,167.444,15,51.222,486.889,83.111,101,486.889,25
517,221.309,97.3596,44.5042,17.194,9.79674,3.35746,1.82539,1.02339,0.0208016,1188.97,123,10.3451,17.4857,92.0629,1.1399,0.042,202.9992,677.3838,68.1777,98.4851,29,2.4391,1.0357,94.925,384.4156,507.6427,0.823198431,3.718614864,1.356938877,1.393748563,2.48214405,50.80238611,9.313687128,699.6658685,435.1404438,264.5254248,0.474048776,1189.94,1627,1618,653,649,673,691,72,164,182,15.8,136.7,136,11.9,14.2,60.3,56.5,40.1,40.1,0.3,1.7,14.6,18.9,82.211,138.316,42.316,3912.79,244.368,52.105,192.263,89.263,187.684,188.842,89.263,1342.21,184.737,17.947,51.211,536,93.579,113.474,536,2067
91,33.8862,28.4785,27.1828,2.55766,3.43443,5.72731,2.6168,1.00187,0.00485499,3318.5,287,8.6485,14.2595,79.9126,1.1503,0.0718,172.6744,1509.2099,57.0203,98.779,38,1.1451,1.027,95.6831,319.4003,792.497,12.89552285,11.9622627,0.236909109,2.921379829,0.962012714,1.467878054,4.572555449,893.7528156,622.9138546,270.838961,0.6427493,3321.54,3069,2948,1305,1334,1346,1446,296,380,281,28,92.5,88.8,17.1,17.5,52.7,46.7,42.5,45.3,1.3,2.4,20.3,20.4,80.98,165.392,40.902,3991.76,275.843,79.569,196.275,123.157,214.569,217.882,115.51,688.549,102.843,4,60.804,297.667,31.373,35.098,289.471,325
195,151.314,14.8795,18.6715,5.70063,3.58023,4.49842,2.52308,1.0041,0.00365377,330.96,59,17.8269,16.5972,115.6937,1.1238,0.0453,265.2889,923.3537,64.3017,97.5498,14,4.2301,1.0769,93.3678,184.8502,350.2438,0,1.559253664,0,1.50217116,0,45.85527684,7.132308669,2460.457892,799.4005901,1661.057302,2.714459432,331.38,438,423,223,169,175,182,18,35,58,14.7,132.3,127.8,16.7,24.3,57.6,62.7,50.9,40,1.6,1.2,22.1,25.8,84.5,141,42.5,3972.75,249,52.75,196.25,91,191,192,91,1294.5,176.5,16.75,51.25,514.75,89,108.75,514.75,0
122,73.3288,20.993,10.7892,2.54839,1.50914,5.28533,2.19847,1.00136,0.00136378,2696.88,460,17.0567,8.2532,140.4512,1.1794,0.0584,297.2694,916.2328,61.3293,98.0687,29,1.0753,1.0357,92.5683,131.7411,586.9397,1.763895657,0,0.796776445,0.521352103,0.919555972,33.08373608,4.408633021,1103.346415,1048.550398,54.79601653,0.675431361,2699.18,3254,3216,1587,1385,1585,1469,177,391,306,18.6,120.5,119.1,13.6,18.2,53.4,51.6,48.8,43.1,0.6,2.1,18.2,22.9,87.462,152.718,44.18,3718.54,257.128,61.513,195.615,111.385,197.282,199.333,103.436,975.667,136.821,10.333,53,392.128,64.103,71.308,388.59,0
